"","color","rank","hex"
"685","grey/blue",685,"#647d8e"
"686","dusty red",686,"#b9484e"
"687","deep rose",687,"#c74767"
"688","dark seafoam green",688,"#3eaf76"
"689","muddy yellow",689,"#bfac05"
"690","carnation",690,"#fd798f"
"691","yellowy brown",691,"#ae8b0c"
"692","violet red",692,"#a50055"
"693","twilight blue",693,"#0a437a"
"694","pure blue",694,"#0203e2"
"695","lightish red",695,"#fe2f4a"
"696","brick orange",696,"#c14a09"
"697","velvet",697,"#750851"
"698","sunflower",698,"#ffc512"
"699","light mint green",699,"#a6fbb2"
"700","light grass green",700,"#9af764"
"701","lavender blue",701,"#8b88f8"
"702","rusty red",702,"#af2f0d"
"703","lightish purple",703,"#a552e6"
"704","dried blood",704,"#4b0101"
"705","light blue grey",705,"#b7c9e2"
"706","leaf",706,"#71aa34"
"707","orangish",707,"#fc824a"
"708","pale olive green",708,"#b1d27b"
"709","off yellow",709,"#f1f33f"
"710","dusty orange",710,"#f0833a"
"711","butter",711,"#ffff81"
"712","royal",712,"#0c1793"
"713","petrol",713,"#005f6a"
"714","greenish cyan",714,"#2afeb7"
"715","duck egg blue",715,"#c3fbf4"
"716","bubble gum pink",716,"#ff69af"
"717","bluegrey",717,"#85a3b2"
"718","warm brown",718,"#964e02"
"719","twilight",719,"#4e518b"
"720","saffron",720,"#feb209"
"721","purple/blue",721,"#5d21d0"
"722","dark sand",722,"#a88f59"
"723","vibrant blue",723,"#0339f8"
"724","putty",724,"#beae8a"
"725","lawn green",725,"#4da409"
"726","camouflage green",726,"#4b6113"
"727","blush pink",727,"#fe828c"
"728","reddy brown",728,"#6e1005"
"729","darkish red",729,"#a90308"
"730","algae green",730,"#21c36f"
"731","dark coral",731,"#cf524e"
"732","bright cyan",732,"#41fdfe"
"733","piss yellow",733,"#ddd618"
"734","pastel red",734,"#db5856"
"735","greenish turquoise",735,"#00fbb0"
"736","dark",736,"#1b2431"
"737","ruby",737,"#ca0147"
"738","poop green",738,"#6f7c00"
"739","orangered",739,"#fe420f"
"740","dandelion",740,"#fedf08"
"741","claret",741,"#680018"
"742","pale mauve",742,"#fed0fc"
"743","lipstick",743,"#d5174e"
"744","rosa",744,"#fe86a4"
"745","darkblue",745,"#030764"
"746","tan brown",746,"#ab7e4c"
"747","shit green",747,"#758000"
"748","red wine",748,"#8c0034"
"749","pinky",749,"#fc86aa"
"750","mud green",750,"#606602"
"751","light greenish blue",751,"#63f7b4"
"752","dull teal",752,"#5f9e8f"
"753","deep lavender",753,"#8d5eb7"
"754","vivid blue",754,"#152eff"
"755","raw umber",755,"#a75e09"
"756","light mint",756,"#b6ffbb"
"757","light light blue",757,"#cafffb"
"758","highlighter green",758,"#1bfc06"
"759","greeny grey",759,"#7ea07a"
"760","bluey grey",760,"#89a0b0"
"761","algae",761,"#54ac68"
"762","sap green",762,"#5c8b15"
"763","pale salmon",763,"#ffb19a"
"764","metallic blue",764,"#4f738e"
"765","ice",765,"#d6fffa"
"766","gross green",766,"#a0bf16"
"767","dodger blue",767,"#3e82fc"
"768","warm pink",768,"#fb5581"
"769","light green blue",769,"#56fca2"
"770","flat green",770,"#699d4c"
